actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06908771395683289,0.0
-0.0718885213136673,-0.002733889501541853
-0.07375572621822357,-0.006302616558969021
-0.07562292367219925,-0.010517501272261143
-0.08231135457754135,-0.015273388475179672
-0.08627808094024658,-0.02109702304005623
-0.0882614403963089,-0.027591658756136894
-0.09123647958040237,-0.03443894907832146
-0.09520316869020462,-0.041830647736787796
-0.09851530194282532,-0.04994530603289604
-0.10249559581279755,-0.05864847078919411
-0.10747094452381134,-0.06814061105251312
-0.11344131827354431,-0.07797319442033768
-0.11841660737991333,-0.08684022724628448
-0.12584461271762848,-0.0947343185544014
-0.13289155066013336,-0.10251189023256302
-0.13993841409683228,-0.11010681092739105
-0.14597854018211365,-0.11756470799446106
-0.15403196215629578,-0.1246681660413742
-0.16309194266796112,-0.1320091187953949
-0.15489612519741058,-0.13977982103824615
-0.16214215755462646,-0.14355890452861786
-0.16938813030719757,-0.1482047140598297
-0.17663399875164032,-0.15350057184696198
-0.1838797926902771,-0.15928392112255096
-0.19743956625461578,-0.1654328852891922
-0.20496012270450592,-0.1734345555305481
-0.2124805897474289,-0.18131595849990845
-0.21812087297439575,-0.18910710513591766
-0.22470109164714813,-0.1963605433702469
-0.22390331327915192,-0.2034456878900528
-0.22936350107192993,-0.20856009423732758
-0.23573365807533264,-0.21376094222068787
-0.24119369685649872,-0.21925412118434906
-0.24574369192123413,-0.22473901510238647
-0.26237788796424866,-0.2299901843070984
-0.2671300768852234,-0.23808711767196655
-0.27093181014060974,-0.24534785747528076
-0.2756839096546173,-0.2517438530921936
-0.2794855535030365,-0.2577288746833801
-0.2832871675491333,-0.2631680369377136
-0.311274915933609,-0.26819783449172974
-0.3153965175151825,-0.27896708250045776
-0.3184877038002014,-0.28807446360588074
-0.3195180892944336,-0.2956777513027191
-0.3195180892944336,-0.30163782835006714
-0.26082804799079895,-0.30610790848731995
-0.26082804799079895,-0.2947879433631897
-0.26082804799079895,-0.2862979769706726
-0.26082804799079895,-0.2799305021762848
-0.26082804799079895,-0.27515488862991333
-0.24041633307933807,-0.27157315611839294
-0.24041633307933807,-0.2637839615345001
-0.2396358996629715,-0.2579420506954193
-0.23807501792907715,-0.25336551666259766
-0.23729458451271057,-0.24954289197921753
-0.30644071102142334,-0.2464808225631714
-0.3033873438835144,-0.2614707946777344
